,age,age_normalized,bmi,hypertension,heart_disease,HbA1c_level,glucose,cholesterol,sleep_hours,triglycerides,blood_pressure,crp_level,homocysteine_level,systolic_bp,diastolic_bp,alcohol_intake,salt_intake,heart_rate,hdl,ldl
blood_pressure,-0.152241022959959,-0.15353842525290526,-0.08532075053633557,0.020915698795357592,-0.013406051019328924,0.19232305664274618,0.007785449131260689,-0.03614596806912163,-0.03536944716629649,-0.01672635801546908,1.0,-0.042036592512791925,-0.12101349086449609,-0.032820924005800375,0.006675686751144692,-0.0012162760973199183,-0.0070772875910321735,0.025206732512109982,0.013707819502422844,0.02429167280116978
crp_level,0.04184075113296412,0.04282740623738024,-0.16420956728013414,-0.048816742972325126,-0.08585259018017027,-0.027430526206679975,0.0002939211566909899,0.002529747319955875,0.02256488495307993,0.04571943559285682,-0.042036592512791925,1.0,-0.06835611930928862,0.007835261780196117,-0.01671798695075386,0.011794320799443484,0.056369485467533426,-0.03425054178723523,0.03475165747416215,-0.011698893278038393
homocysteine_level,0.04224995376176051,0.0431004841584721,0.16609632852080328,-0.033967776135589864,-0.08000888995672077,-0.08241201252084031,-0.009202536949460435,0.06634301408619801,0.019153860829180518,0.015401990580591367,-0.12101349086449609,-0.06835611930928862,1.0,0.009098677570251467,0.023464067574694495,-0.003860220049770223,-0.03179237843432259,0.007963795393677964,-0.0378334566323102,-0.0015779793118307218
systolic_bp,0.02647950970356491,0.02671309636559691,0.008690349081015207,0.007670251748053141,0.009726662752760547,0.011795212385557287,0.004728510857251282,-0.002604666080824846,0.00581558865558084,-0.01892325713462268,-0.032820924005800375,0.007835261780196117,0.009098677570251467,1.0,0.003654885948384892,-0.013861136416274579,0.01949910018883945,0.0014621018654145579,-0.0045351774099629625,-0.021791522445567278
diastolic_bp,0.009992598146443134,0.010023945050252838,0.0015965517025170479,-0.003453796231352355,-0.00047848251698708814,0.001639629644732668,0.003269506215972582,-0.005766557221971869,-0.01143165162466223,0.0020639345536622735,0.006675686751144692,-0.01671798695075386,0.023464067574694495,0.003654885948384892,1.0,-0.007359170312927135,-0.011471202880182337,0.009866821703885208,-0.008446447719596023,0.005265622467623538
alcohol_intake,0.01512954562231843,0.015180620120835073,-0.01269838142919962,-0.004082544172387436,-0.005701940423745805,-0.011462498163501011,-0.005548532547124138,0.0067747786991948075,0.006305543994429276,0.013313480128716646,-0.0012162760973199183,0.011794320799443484,-0.003860220049770223,-0.013861136416274579,-0.007359170312927135,1.0,-0.0043002183830913145,-0.01271462773106655,0.009668796237184531,0.007047842752824373
salt_intake,0.01760733738786436,0.017698023338432387,-0.0008808653708927619,0.005364433224449632,0.004806379288692933,0.006598424775652018,0.0037709483358150456,-0.008076863471860892,0.010231451195011393,-0.002446574595740108,-0.0070772875910321735,0.056369485467533426,-0.03179237843432259,0.01949910018883945,-0.011471202880182337,-0.0043002183830913145,1.0,-0.012724786456094254,-0.0073786801338412405,-0.023937880912980932
heart_rate,0.007732692642558002,0.007774647700182763,0.002701626447762628,0.004518983620692183,-0.0004688805021925665,0.0002568321489300744,-0.0019960473738572485,-0.007662519949263399,-0.02327065304279146,0.015040265944383416,0.025206732512109982,-0.03425054178723523,0.007963795393677964,0.0014621018654145579,0.009866821703885208,-0.01271462773106655,-0.012724786456094254,1.0,-0.01717715519342606,0.008000158909947876
hdl,-0.03175301078478421,-0.031915825199253504,-0.030162879012303863,-0.011225081632881408,-0.009332426186875157,-0.009006043555763045,-0.0018065602464255913,-0.00723010494493782,0.00204395462082721,0.008334909820402229,0.013707819502422844,0.03475165747416215,-0.0378334566323102,-0.0045351774099629625,-0.008446447719596023,0.009668796237184531,-0.0073786801338412405,-0.01717715519342606,1.0,0.008094349949006206
ldl,-0.0405962688892058,-0.04075061115001235,-0.029636870824281195,-0.020888316486759078,-0.01745524170905889,-0.008965807028478854,-0.0043135383109399565,0.0033942290818340954,-0.017571829642610344,0.010811606818879221,0.02429167280116978,-0.011698893278038393,-0.0015779793118307218,-0.021791522445567278,0.005265622467623538,0.007047842752824373,-0.023937880912980932,0.008000158909947876,0.008094349949006206,1.0
